,Timestamp,Age,Gender,City,Position,Years of experience,Your level,Current Salary,Salary one year ago,Salary two years ago,Are you getting any Stock Options?,Main language at work,Company size,Company type
462,17/12/2018 21:53:50,34,M,Berlin,Senior Software Engineer,12,Senior,67000,55000,55000,No,English,100-1000,Startup
463,17/12/2018 22:22:14,32,M,Berlin,C# Developer ,5,Senior,55000,55000,55000,No,English,Oct-50,Product
464,17/12/2018 23:00:51,31,M,Berlin,Senior Java Developer,9,Senior,85000,64000,58000,No,English,1000+,Product
466,17/12/2018 23:16:24,26,M,Berlin,Android developer,4,Middle,20400,20400,20400,No,English,Oct-50,Product
471,18/12/2018 02:42:05,26,F,MÃ_nchen,Software developer,4,Middle,47300,41000,38000,No,English,50-100,Product
472,18/12/2018 06:50:08,45,M,Berlin,java developer,8,Middle,53000,48000,36000,Yes,Deutsch,1000+,Agency
474,18/12/2018 09:10:10,36,M,Ludwigsburg,System Architect,10,Senior,100000,97000,95500,No,Deutsch,1000+,GmbH
475,18/12/2018 09:36:30,35,M,MÃ_nchen,Head of Development,11,Senior,100000,90000,90000,No,Deutsch,100-1000,Product
484,18/12/2018 11:16:23,45,M,Essen,Senior quant,20,Senior,80000,75000,70000,No,English,1000+,Corporation
486,18/12/2018 11:20:41,37,M,Berlin,Senior Software Engineer,15,Senior,86000,77000,74000,No,English,Oct-50,Product
489,18/12/2018 11:49:24,32,M,MÃ_nchen,Senior Software Engineer,10,Senior,69000,65000,50000,No,English,100-1000,Product
490,18/12/2018 11:49:42,32,M,MÃ_nchen,Senior Software Engineer,10,Senior,69000,65000,50000,No,English,100-1000,Product
491,18/12/2018 11:50:35,38,M,Berlin,Data Scientist,5,Senior,60000,60000,54000,No,English,up to 10,Product
492,18/12/2018 12:00:16,27,M,Warsaw,Data Processing Specialist,2,Middle,19200,14400,10800,No,Polish,50-100,Product
497,18/12/2018 13:03:59,33,M,Berlin,Software Developer,5,Middle,51750,45000,37050,Yes,Deutsch,Oct-50,Startup
499,18/12/2018 13:27:34,36,M,Amsterdam,Senior Automation Test Engineer,13,Senior,80000,80000,72000,No,English,100-1000,Product
500,18/12/2018 13:50:03,30,F,MÃ_nchen,QA,5,Middle,58000,56000,54000,Yes,English,1000+,Product
501,18/12/2018 13:50:32,31,M,Berlin,Engineering Manager,12,Junior,108000,110000,90000,Yes,English,100-1000,Product
502,18/12/2018 13:53:39,37,M,MÃ_nchen,Operations,15,Middle,72000,65000,62000,No,English,1000+,Product
505,18/12/2018 14:21:49,30,M,Berlin,Software Engineer,8,Senior,70000,66000,65000,No,English,1000+,Product
508,18/12/2018 14:28:27,36,M,Berlin,Senior Software Developer,15,Senior,75000,69000,66000,No,English,100-1000,Product
509,18/12/2018 14:55:05,40,M,MÃ_nchen,Front End developer,12,Senior,69600,65000,62000,No,English,100-1000,Product
510,18/12/2018 15:21:18,33,M,KÃ¶ln,Team Lead,10,Senior,85000,80000,77000,No,Deutsch,100-1000,Product
513,18/12/2018 15:36:09,37,M,Stuttgart,DevOps (MS Stack),6,Senior,58500,12000,10500,No,Deutsch,100-1000,Product
514,18/12/2018 15:48:51,32,M,Berlin,Head of Data Science,9,Senior,130000,115000,115000,Yes,English,50-100,Startup
515,18/12/2018 16:15:47,32,M,Frankfurt,DevOps Architect,10,Senior,80000,52000,42000,Yes,English,1000+,Agency
516,18/12/2018 16:28:33,30,M,Berlin,Sr. Engineer,12,Senior,65000,58000,51000,Yes,English,50-100,Startup
517,18/12/2018 16:36:17,42,M,Berlin,qa ta architect,15,Senior,68000,62000,62000,No,English,50-100,Product
518,18/12/2018 17:15:11,32,M,Dublin,.NET Developer,10,Senior,96000,93000,91000,No,English,100-1000,Product
520,18/12/2018 17:43:31,35,M,Hamburg,Senior PHP Developer,15,Senior,60000,63000,55000,No,Deutsch,Oct-50,Startup
521,18/12/2018 18:58:10,29,M,MÃ_nchen,Head of Software Engineering ,11,Senior,120000,85000,75000,No,English,50-100,Startup
522,18/12/2018 19:09:28,27,F,MÃ_nchen,QA Engineer,6,Middle,70000,65000,55000,No,English,100-1000,Product
526,18/12/2018 20:31:26,30,M,MÃ_nchen,Java dev,6,Senior,70000,56000,56000,No,English,50-100,Startup
532,18/12/2018 21:53:24,33,M,MÃ_nchen,.NET Developer,4,Middle,65000,50000,50000,No,Deutsch,1000+,IT Consultancy 
536,18/12/2018 22:23:02,33,M,Berlin,C++ Software Developer,12,Senior,87000,77000,70000,Yes,English,1000+,Product
537,18/12/2018 22:30:11,32,M,MÃ_nchen,Java Team Lead,12,Senior,85000,80000,75000,No,English,100-1000,Product
538,18/12/2018 22:40:10,35,F,MÃ_nchen,Quality assurance,3,Junior,39000,38000,38000,No,English,100-1000,Product
542,19/12/2018 10:19:56,34,M,Berlin,Software Developer,15,Senior,69000,60000,60000,No,English,100-1000,Product
543,19/12/2018 10:27:08,31,M,Berlin,Fullstack Engineer,8,Senior,77000,72000,54000,No,English,100-1000,Product
544,19/12/2018 10:33:03,32,M,Berlin,Software engineer,7,Senior,73000,68000,69000,No,Deutsch,100-1000,Product
545,19/12/2018 10:34:21,32,M,Berlin,Senior automation qa,10,Senior,65000,80000,55000,No,English,100-1000,Product
549,19/12/2018 11:29:18,50,M,KÃ¶ln,Senior Consulter,20,Senior,72000,72000,67000,Yes,Deutsch,1000+,IT Service Provider
551,19/12/2018 12:28:51,31,M,Frankfurt,devops,5,Middle,55000,55000,47500,No,English,100-1000,Startup
552,19/12/2018 12:35:39,29,M,Berlin,Team Lead,7,Senior,70000,65000,50000,No,English,100-1000,Product
554,19/12/2018 12:37:33,31,M,Frankfurt,Cloud Architect,10,Senior,75000,65000,55000,No,English,Oct-50,Agency
555,19/12/2018 12:53:51,34,M,MÃ_nchen,CTO,12,Senior,70000,95000,75000,Yes,Deutsch/Englisch,Oct-50,Product
556,19/12/2018 13:13:37,31,M,Berlin,C++ Developer,4,Senior,65000,45000,40000,No,English,1000+,Product
557,19/12/2018 13:40:18,47,M,MÃ_nchen,SharePoint Developer,11,Senior,66000,66000,65000,No,Deutsch,1000+,"non-IT, manufacturing"
559,19/12/2018 14:00:34,43,M,MÃ_nchen,DWH expert,10,Senior,88000,85000,83000,Yes,English,1000+,Insurance
560,19/12/2018 14:03:52,33,M,MÃ_nchen,Senior Full stack developer,7,Senior,70000,70000,65000,No,English,100-1000,Product
561,19/12/2018 14:17:38,32,M,Hildesheim,C++ developer,12,Senior,60000,60000,60000,No,English,1000+,Product
563,19/12/2018 15:30:31,47,M,Berlin,Java Developer,10,Senior,64500,64000,62000,No,Deutsch,100-1000,IT-Beratung
564,19/12/2018 15:39:37,31,M,Berlin,Senior Data Scientist,7,Senior,96000,85000,85000,Yes,English,100-1000,Product
566,19/12/2018 15:50:09,40,M,Dublin,Senior Embedded Developer,20,Senior,80000,72000,72000,No,English,Oct-50,Startup
567,19/12/2018 15:55:31,33,M,Berlin,Computer Vision Engineer,10,Senior,122000,110000,102000,Yes,English,1000+,Product
568,19/12/2018 16:02:32,46,M,London,Data Engineer,21,Middle,90000,90000,90000,No,English,100-1000,Startup
570,19/12/2018 16:36:52,43,M,Frankfurt,C#.net Developer,18,Senior,60000,60000,60000,No,English,1000+,Consulting
573,19/12/2018 17:21:50,38,M,Berlin,Team Lead,15,Senior,75000,65000,60000,No,English,1000+,Product
575,19/12/2018 17:45:39,31,M,Berlin,iOS Developer,4,Middle,60000,52600,48000,Yes,English,100-1000,Product
576,19/12/2018 17:49:22,32,M,Frankfurt,It security ,15,Senior,165000,130000,110000,Yes,English,up to 10,Agency
577,19/12/2018 18:18:05,34,M,MÃ_nchen,Deep Learning Engineer,9,Senior,138000,124000,124000,No,English,1000+,Product
578,19/12/2018 19:41:22,42,M,MÃ_nchen,Application Engineer ,19,Senior,110000,105000,103000,Yes,English,1000+,Product
581,19/12/2018 21:08:48,26,M,KÃ¶ln,Software Engineer (java),1.5,Junior,46000,44000,18000,No,Deutsch,1000+,Technology Consulting
582,19/12/2018 21:21:28,27,M,Berlin,Senior Software Engineer,5,Senior,73000,69000,60000,No,English,Oct-50,Startup
587,20/12/2018 00:38:28,32,M,Stuttgart,C#,7,Middle,74000,55000,50000,Yes,Deutsch,1000+,Product
588,20/12/2018 07:51:44,26,M,"Krakow, Poland",Senior Software Engineer,4.5,Senior,39150,33550,27950,No,English,1000+,outsource
589,20/12/2018 08:13:59,25,M,MÃ_nchen,Java Full-Stack Developer,2,Junior,60000,10800,10800,No,English,100-1000,Product
592,20/12/2018 09:05:47,30,M,Hamburg,1_¡,5,Middle,24000,24000,15000,Yes,Russian,50-100,Agency
595,20/12/2018 10:05:48,30,M,Hamburg,Hardware Developer,4,Middle,40800,38000,38000,No,Deutsch,up to 10,Agency
596,20/12/2018 10:22:10,30,F,MÃ_nchen,Software Tester,5,Middle,50000,46000,44000,No,Deutsch,50-100,Product
598,20/12/2018 11:01:51,40,M,MÃ_nchen,Architekt,18,Senior,89000,80000,76000,Yes,Deutsch,50-100,Product
600,20/12/2018 12:06:50,29,M,Berlin,QA,8,Senior,67500,67500,50000,No,English,100-1000,Product
601,20/12/2018 12:25:26,28,F,Frankfurt,Test Automation Engineer,3,Middle,50000,43000,40000,Yes,Deutsch,50-100,Consulting
606,20/12/2018 16:07:33,52,M,bremen,Sysadmin,5,Middle,33600,33600,33600,No,Deutsch,up to 10,ISP
607,20/12/2018 16:54:51,34,M,MÃ_nchen,Research Scientist (AI),8,Senior,132000,125000,120000,Yes,English,1000+,Product
609,20/12/2018 18:53:02,30,M,Stockholm,Java Developer,12,Senior,65000,63000,52000,Yes,English,1000+,Product
610,20/12/2018 19:23:53,38,M,Berlin,Senior Research Engineer,14,Senior,128000,119000,119000,Yes,English,1000+,Product
611,20/12/2018 19:25:07,26,M,MÃ_nchen,Frontend Developer,3,Junior,37000,37000,37000,Yes,Deutsch,up to 10,Startup
612,20/12/2018 22:38:36,33,F,MÃ_nchen,Sr project manager,11,Senior,120000,85000,72000,No,English,1000+,Product
617,21/12/2018 10:42:50,31,M,Luxembourg,Network engineer,8,Middle,72000,70000,70000,No,English,100-1000,Product
619,21/12/2018 14:10:43,30,M,MÃ_nchen,iOS Developer,7,Senior,68000,68000,60000,No,English,100-1000,Product
621,21/12/2018 14:36:29,32,M,MÃ_nchen,backend developer,10,Senior,65000,65000,55000,No,English,100-1000,Product
622,21/12/2018 14:56:31,30,M,MÃ_nchen,data scientist,5,Middle,60000,59000,58000,No,English,100-1000,Product
623,21/12/2018 15:21:40,31,M,Berlin,Security Researcher,5,Senior,90000,85000,70000,No,English,1000+,Product
624,21/12/2018 15:29:51,32,F,Dublin,Software engineer,6,Middle,90000,40000,36000,Yes,English,1000+,Product
625,21/12/2018 17:23:57,28,M,Berlin,team lead,5,Senior,77000,65000,55000,No,English,50-100,Product
626,21/12/2018 19:20:15,33,M,NÃ_rnberg ,Java Developer ,6,Senior,90000,65000,50000,No,Deutsch,100-1000,Agency
627,21/12/2018 19:20:59,33,M,NÃ_rnberg ,Java Developer ,6,Senior,90000,65000,50000,No,Deutsch,100-1000,Agency
629,21/12/2018 21:01:44,43,M,Schleswig-Holstein,Senior .NET Engineer,16,Senior,103000,93000,90000,No,Deutsch,50-100,Product
632,21/12/2018 23:49:39,32,M,Berlin,Data Science Team Lead,8,Senior,125000,106000,98000,Yes,English,100-1000,Product
633,22/12/2018 10:39:18,35,M,Berlin,PHP Developer,8,Senior,57000,54000,36000,No,English,Oct-50,Product
635,22/12/2018 11:10:31,33,M,Stuttgart,Product Security Engineer,12,Senior,78000,55000,52000,No,Deutsch,1000+,Product
636,22/12/2018 11:39:33,33,M,Berlin,Php developer,12,Senior,66000,60000,55000,Yes,English,100-1000,Product
638,22/12/2018 13:35:53,31,M,Berlin,Java Developer,9,Middle,70000,67000,65000,No,English,1000+,Product
639,22/12/2018 13:49:00,37,M,Berlin,Javascript Engineer,8,Senior,75000,60000,50000,No,English,1000+,Product
640,22/12/2018 14:29:51,27,M,Berlin,DevOps,10,Senior,60000,80000,56000,No,English,100-1000,Agency
643,22/12/2018 17:25:53,33,F,Berlin,NAV Developer ,10,Middle,55000,55000,60000,No,English,100-1000,Startup
644,22/12/2018 18:56:42,37,M,MÃ_nchen,C++  developer,15,Senior,80000,77000,65000,No,English,100-1000,Product
646,22/12/2018 20:10:58,33,M,MÃ_nchen,Javascript Developer,10,Senior,72000,69000,66000,No,Deutsch,1000+,Product
647,22/12/2018 20:38:00,30,M,MÃ_nchen,Senior iOS developer,10,Senior,70000,70000,75000,No,English,Oct-50,Startup
651,23/12/2018 10:00:57,31,M,MÃ_nchen,DevOps,11,Senior,80000,65000,60000,Yes,English,1000+,Product
653,23/12/2018 12:54:37,33,M,Frankfurt,Lead Java Developer,11,Senior,72000,72000,68000,No,English,100-1000,Product
654,23/12/2018 15:08:36,32,M,Berlin,Software Engineer,9,Senior,83000,70000,66000,No,English,50-100,Blockchain technology
655,23/12/2018 15:16:21,27,M,Berlin,Java Developer,6,Middle,60000,67000,51000,No,English,1000+,Retail
660,23/12/2018 16:37:28,35,M,MÃ_nchen,Backend Engineer,12,Senior,70000,64000,61000,No,English,50-100,Product
661,23/12/2018 17:51:44,34,M,MÃ_nchen,Senior Software Testing Engineer,11,Senior,72000,68000,65000,No,English,1000+,Product
663,23/12/2018 19:15:03,26,M,Berlin,Full-stack developer,5,Senior,65000,54000,40000,No,English,100-1000,Startup
664,24/12/2018 08:47:03,30,M,Vienna,Software developer,7,Middle,42000,44800,44800,No,English,50-100,Consult
665,24/12/2018 10:39:45,29,F,Berlin,qa,5,Middle,40000,40000,32000,No,English,50-100,Startup
667,24/12/2018 11:20:58,28,M,Berlin,iOS Developer ,6,Middle,48000,48000,48000,No,English,100-1000,Product
670,25/12/2018 09:57:07,33,F,Berlin,Java Developer,4,Middle,55000,54000,39000,No,English,1000+,Product
671,25/12/2018 12:45:52,30,M,Berlin,Full stack,10,Senior,75000,70000,70000,Yes,English,100-1000,Product
673,25/12/2018 13:02:57,32,M,Berlin,Senior Sotfware Engineer (Typescript/Javascript),9,Senior,65000,60000,60000,No,English,1000+,Product
678,26/12/2018 09:25:19,33,M,Limassol,PHP Developer,12,Senior,39600,36000,36000,No,Russian,100-1000,Product
680,26/12/2018 14:16:31,37,M,Berlin,Software engineer,15,Senior,65000,55000,50000,No,English,Oct-50,Startup
681,26/12/2018 14:37:31,30,M,saint petersburg,c++,10,Senior,15000,14000,13000,No,Russian,100-1000,Product
682,26/12/2018 16:04:40,30,M,MÃ_nchen,Business Analyst,7,Senior,120000,110000,100000,No,English,1000+,Product
686,27/12/2018 12:34:03,37,M,Erlangen,Projectingenieur,7,Senior,85000,78000,74000,Yes,Deutsch,1000+,Product
689,28/12/2018 00:00:48,30,M,Berlin,Full Stack Developer,10,Middle,47000,47000,38000,No,English,Oct-50,Product
692,29/12/2018 00:06:13,29,M,MÃ_nchen,.net developer,8,Senior,77000,55000,44000,No,English,1000+,Product
694,29/12/2018 17:04:41,36,F,MÃ_nchen, Java Developer,7,Senior,80000,75000,72000,No,English,1000+,Automotive
696,29/12/2018 20:02:46,29,M,Berlin,Senior Frontend Developer,9,Senior,60000,55000,52000,Yes,English,100-1000,Product
699,30/12/2018 10:34:03,32,M,Berlin,Director of Engineering,10,Senior,115000,95000,70000,Yes,English,100-1000,Product
700,30/12/2018 18:53:11,32,M,MÃ_nchen,Solutions architect,11,Senior,75000,65000,60000,No,English,100-1000,Startup
701,30/12/2018 22:14:57,30,M,Bonn,Software Developer,7,Senior,62500,55000,48000,No,English,Oct-50,Product
703,31/12/2018 07:45:22,42,M,MÃ_nchen,IT ÑÅ_¿_µÑ†_¸_°_»_¸ÑÅÑ‚,18,Senior,127000,123000,118000,No,Deutsch,1000+,Automotive
704,31/12/2018 10:58:13,27,M,MÃ_nchen,Software Developer,6,Middle,65000,65000,50000,No,Deutsch,100-1000,Product
708,1/1/19 10:19,33,M,Remote Germany,Engineering Manager,0,Senior,83200,80000,70000,Yes,English,100-1000,Startup
712,2/1/19 10:43,44,M,Berlin,C# Developer,20,Senior,65000,60000,58000,No,Deutsch,50-100,Product
714,2/1/19 22:32,27,F,Frankfurt,Associate IT Consultant,0,Junior,50000,10001,10001,No,English,100-1000,Consulting (banking)
715,3/1/19 14:01,30,M,Berlin,Principal Software Engineer,10,Senior,75000,72000,36000,Yes,English,1000+,Product
718,6/1/19 15:20,26,M,Berlin,Java Script developer,5,Senior,62500,60000,52000,Yes,English,1000+,Product
719,7/1/19 13:59,34,M,Frankfurt,BI Consultant,11,Senior,65000,55000,55000,No,Deutsch,1000+,IT Consulting
721,9/1/19 10:31,35,M,Berlin,Backend Developer,12,Senior,70000,65000,60000,No,English,100-1000,Product
725,20/01/2019 14:36:15,34,M,Berlin,Devops Engineer,3,Middle,52000,47000,39000,Yes,English,50-100,Product
727,4/2/19 14:31,33,M,Berlin,Producer,7,Senior,69000,67000,64500,No,English,1000+,Product
729,5/2/19 19:08,38,M,Berlin,PHP Developer,18,Senior,68000,65000,60000,No,English,1000+,Product
730,10/2/19 18:42,31,M,MÃ_nchen,Android Developer,6,Middle,65000,63000,58000,No,English,50-100,Product
732,27/02/2019 21:40:21,32,M,Berlin,Senior QA Engineer,9,Senior,71500,68000,60000,Yes,English,100-1000,Startup
735,26/03/2019 22:17:53,40,M,MÃ_nchen,Senior PHP developer,12,Senior,50000,50000,41000,No,English,50-100,Product
746,9/8/19 11:53,51,M,Oberhausen,Sr. Database Entwickler (Oracle/Java),25,Senior,78000,76500,75000,No,Deutsch,100-1000,Product
756,5/3/20 16:50,52,M,KÃ¶ln,IT Engineer,30,Middle,63000,80000,80000,No,English,1000+,Agency
760,3/6/20 20:12,40,M,KÃ¶ln,Java Developer junior,1,Junior,44000,40000,40000,Yes,Deutsch,Oct-50,Product
